1749.07	135.9
1749.08	137.9
1749.09	140.2
1749.10	143.8
1749.11	146.4
1749.12	147.9
1750.01	148.4
1750.02	150.3
1750.03	153.9
1750.04	154.3
1750.05	147
1750.06	139.7
1750.07	138.8
1750.08	136.3
1750.09	131
1750.10	125.7
1750.11	121.5
1750.12	116
1751.01	111.3
1751.02	106.9
1751.03	99.2
1751.04	91.6
1751.05	86.2
1751.06	81.6
1751.07	77
1751.08	75
1751.09	77.3
1751.10	79.2
1751.11	79.4
1751.12	78.5
1752.01	78.6
1752.02	77.3
1752.03	75.5
1752.04	77.3
1752.05	79.6
1752.06	79.9
1752.07	80.3
1752.08	79.7
1752.09	76.7
1752.10	73.4
1752.11	70.3
1752.12	68.1
1753.01	63.6
1753.02	60.4
1753.03	61.1
1753.04	59.7
1753.05	57
1753.06	53.4
1753.07	48.1
1753.08	43
1753.09	37.9
1753.10	33.2
1753.11	30.4
1753.12	29
1754.01	28.5
1754.02	26.4
1754.03	23.2
1754.04	21.7
1754.05	21.2
1754.06	20.5
1754.07	21.1
1754.08	22.3
1754.09	23.3
1754.10	23.1
1754.11	21.2
1754.12	17.9
1755.01	15.3
1755.02	14
1755.03	14
1755.04	14.7
1755.05	14.2
1755.06	14.8
1755.07	16.1
1755.08	16
1755.09	15.6
1755.10	15.7
1755.11	16.8
1755.12	18.5
1756.01	19.1
1756.02	19
1756.03	18.8
1756.04	17.7
1756.05	17.7
1756.06	17.7
1756.07	17.1
1756.08	18.2
1756.09	20.6
1756.10	23.5
1756.11	26.7
1756.12	28.5
1757.01	29.9
1757.02	34.6
1757.03	39.6
1757.04	42.8
1757.05	47.4
1757.06	52.4
1757.07	55.7
1757.08	59.5
1757.09	63.2
1757.10	67.7
1757.11	71.2
1757.12	74
1758.01	77.6
1758.02	78
1758.03	78.7
1758.04	80.7
1758.05	79.5
1758.06	78.7
1758.07	80.1
1758.08	80.3
1758.09	79.6
1758.10	77.6
1758.11	76.1
1758.12	76.6
1759.01	77.4
1759.02	80.2
1759.03	83.5
1759.04	86
1759.05	87.8
1759.06	89
1759.07	91.3
1759.08	93.7
1759.09	96.7
1759.10	99.4
1759.11	101.8
1759.12	103.3
1760.01	104.2
1760.02	105.5
1760.03	104.7
1760.04	103
1760.05	103.3
1760.06	104.5
1760.07	105
1760.08	107.3
1760.09	109.9
1760.10	111.3
1760.11	114.7
1760.12	120.7
1761.01	126.1
1761.02	129.2
1761.03	133
1761.04	138.4
1761.05	143.1
1761.06	144.1
1761.07	141.3
1761.08	138.2
1761.09	134.5
1761.10	131.3
1761.11	125.8
1761.12	119.6
1762.01	113.8
1762.02	108
1762.03	104.2
1762.04	100.6
1762.05	98.4
1762.06	99.7
1762.07	102.8
1762.08	100.8
1762.09	97.2
1762.10	94.5
1762.11	92.1
1762.12	88.8
1763.01	87.3
1763.02	85.9
1763.03	83
1763.04	81.3
1763.05	78.6
1763.06	76.3
1763.07	75.4
1763.08	77.6
1763.09	79.9
1763.10	80.4
1763.11	81.3
1763.12	81.7
1764.01	79.7
1764.02	78.2
1764.03	75.7
1764.04	71.7
1764.05	68
1764.06	63.1
1764.07	58.1
1764.08	53.3
1764.09	49.9
1764.10	48
1764.11	45.4
1764.12	43.1
1765.01	42.2
1765.02	41.9
1765.03	41.1
1765.04	39.2
1765.05	37.4
1765.06	35.7
1765.07	34
1765.08	32.1
1765.09	31.9
1765.10	31.6
1765.11	30.9
1765.12	30.2
1766.01	27.4
1766.02	24
1766.03	21.4
1766.04	19.9
1766.05	18.7
1766.06	18.6
1766.07	20.1
1766.08	22.5
1766.09	24.2
1766.10	26.6
1766.11	28.6
1766.12	30.9
1767.01	34.3
1767.02	38.2
1767.03	43.4
1767.04	48.8
1767.05	54.9
1767.06	60.7
1767.07	64.9
1767.08	69.2
1767.09	71.9
1767.10	72.8
1767.11	76.8
1767.12	83.2
1768.01	88.4
1768.02	92.4
1768.03	96.4
1768.04	101
1768.05	105.8
1768.06	112.4
1768.07	117.8
1768.08	119.1
1768.09	120.2
1768.10	125.2
1768.11	128.7
1768.12	129.6
1769.01	135.4
1769.02	143.7
1769.03	152.5
1769.04	163.2
1769.05	172.8
1769.06	176.8
1769.07	178.9
1769.08	186.4
1769.09	193
1769.10	190.9
1769.11	187.5
1769.12	186.5
1770.01	185.1
1770.02	184.9
1770.03	182.2
1770.04	175.3
1770.05	170.4
1770.06	168.7
1770.07	163.3
1770.08	151.9
1770.09	142.9
1770.10	141.5
1770.11	148.2
1770.12	156.5
1771.01	156.1
1771.02	148.4
1771.03	143.5
1771.04	142.3
1771.05	139.1
1771.06	136.4
1771.07	140.5
1771.08	148.1
1771.09	150.1
1771.10	150.9
1771.11	144.8
1771.12	132.5
1772.01	128.9
1772.02	129.4
1772.03	125.7
1772.04	121.4
1772.05	117.9
1772.06	113
1772.07	107.6
1772.08	100.1
1772.09	97.2
1772.10	94.5
1772.11	90.6
1772.12	88.8
1773.01	83.4
1773.02	76.9
1773.03	72.4
1773.04	67.3
1773.05	62.3
1773.06	59.4
1773.07	57.4
1773.08	59.4
1773.09	62.2
1773.10	63.3
1773.11	64.8
1773.12	65.5
1774.01	64.8
1774.02	63.7
1774.03	61.8
1774.04	59.4
1774.05	56.9
1774.06	53.2
1774.07	48.1
1774.08	40.6
1774.09	33
1774.10	27.7
1774.11	22.1
1774.12	17.7
1775.01	15.4
1775.02	14.4
1775.03	14.1
1775.04	13.2
1775.05	12.5
1775.06	12
1775.07	12.9
1775.08	14.9
1775.09	15.3
1775.10	15.7
1775.11	16.9
1775.12	17.9
1776.01	18.4
1776.02	19.5
1776.03	21.5
1776.04	24.1
1776.05	27.2
1776.06	30.8
1776.07	34.7
1776.08	38
1776.09	42
1776.10	49.4
1776.11	59.3
1776.12	68.4
1777.01	79.2
1777.02	91.8
1777.03	104.9
1777.04	117.1
1777.05	130.2
1777.06	146
1777.07	163.4
1777.08	177.6
1777.09	189.3
1777.10	199.3
1777.11	213.7
1777.12	231.1
1778.01	241.4
1778.02	247.4
1778.03	253.2
1778.04	260.5
1778.05	264.3
1778.06	260.9
1778.07	252.9
